ID,Tip_X,Tip_Y,Tip_Z,Distance_to_Fiber,Activated
integrin1,0.001292595352707445,-0.00188175431257948,0.010838530718007056,0.007209528723840308,True
integrin2,-0.007373688780589649,0.006754902942826518,0.004,0.013840104087306314,False
integrin3,0.0012363864551428853,-0.014087985964414473,0.004,0.012112313870203098,False
integrin4,0.010538470206328822,0.013745568220714623,0.004,0.008069482922246112,False
integrin5,-0.021589778057297004,-0.0037935414243532826,0.008818821313572076,0.005187487857200903,True
integrin6,0.018866941954039526,-0.012001604113738427,0.004,0.010253483620670478,False
integrin7,-0.0063589808163188035,0.02365509169243885,0.004,0.01964210568353528,False
integrin8,-0.018611598161928398,-0.02444060803777422,0.008662473738304201,0.007990105798539364,True
integrin9,0.03034577539612276,0.009439136086749237,0.009743749705509243,0.006879790774076391,True
integrin10,-0.023863131364895453,0.011967117376285273,0.008938167118680411,0.006293794227948423,True
integrin11,0.013403187206711614,-0.028641832565355213,0.004,0.014527059259878706,False
integrin12,0.009926122851686587,0.03164604375167969,0.004,0.011149012906799002,False
integrin13,-0.02997179549738671,-0.017369268109590278,0.004,0.01069749250742523,False
integrin14,0.03521454581031473,-0.007741819125583183,0.004,0.009001441471633698,False
integrin15,-0.026444087866665685,0.029860321511220964,0.00907366138198907,0.00711024036243579,True
integrin16,-0.004977197630519073,-0.03840869047164659,0.004,0.012365790038465573,False
integrin17,0.03203351398168947,0.02574753261231107,0.00938175094755573,0.0055731119856820025,True
integrin18,-0.04119584716008132,0.0017035776363936326,0.004,0.011736004236417274,False
integrin19,0.026327136433284205,-0.029392444976521635,0.010605697358808093,0.007612676038628314,True
integrin20,-0.002013438425395673,0.04354246278872085,0.004,0.02465003767894884,False
integrin21,-0.02594396009688255,-0.035233808737578164,0.0075834724542617245,0.0045812356944918125,True
integrin22,0.045416506031728324,0.006110726623731805,0.004,0.016386945924681005,False
integrin23,-0.03850166878598592,0.02678845834859181,0.004,0.01336870321494158,False
integrin24,0.010525956663281471,-0.046788932840178356,0.004,0.016419636912917798,False
integrin25,0.024356789099939137,0.04250584459507994,0.004,0.010626809042137796,False
integrin26,-0.04763463887072037,-0.015196748983123204,0.004,0.017112340680556032,False
integrin27,0.0462884470282008,-0.021386436629729822,0.004,0.014531110697483616,False
integrin28,-0.02006032223901111,0.047933114562555154,0.004,0.010306875044902089,False
integrin29,-0.015010260182954802,-0.04940789267526169,0.008473411800975212,0.005344436299472072,True
integrin30,0.047668910080327836,0.025053443111748515,0.004,0.008112659151961792,False
integrin31,-0.0532845713157406,0.013871691808500173,0.007642325542028679,0.0036575703556874406,True
integrin32,0.030112570815433826,-0.04683196642129693,0.004,0.009466000083951943,False
integrin33,0.00958136326303102,0.05575121055207537,0.004,0.02021542217772657,False
integrin34,-0.04541784361589332,-0.03517413085326002,0.004,0.018749061415293918,False
integrin35,0.06297687369096046,-0.005755442502577791,0.009332692851847919,0.007280492203958458,True
integrin36,-0.04017487588314642,0.04342786372565176,0.004,0.012756198633121562,False
integrin37,0.00029269656791689526,-0.05999928606841192,0.004,0.014319891904177246,False
