Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
3,0.6093,20.0992,14.9879,0,20.5790,15.3004,0,0.5727,0.5552,255,255
3,0.6020,21.6504,14.2178,0,22.0856,14.0951,0,0.4522,0.5565,255,255
3,0.6004,0.1004,13.5706,0,0.1674,13.0349,0,0.5398,0.5586,255,255
3,0.5889,0.2232,8.9280,0,0.6250,9.2851,0,0.5375,0.5237,255,255
3,0.5835,22.3200,12.1867,0,22.3870,12.6778,0,0.4956,0.5528,255,255
3,0.5827,19.1059,15.1218,0,19.6193,14.9544,0,0.5400,0.5461,255,255
3,0.5777,19.9876,9.0396,0,20.4340,8.8499,0,0.4850,0.5354,255,255
3,0.5685,20.7018,6.1938,0,20.2554,6.4728,0,0.5264,0.5241,255,255
3,0.5634,8.2919,15.4343,0,8.8276,15.4120,0,0.5361,0.5158,255,255
3,0.5558,21.2598,11.5394,0,21.7508,11.6957,0,0.5153,0.5308,255,255
3,0.5527,0.8593,14.0504,0,0.8147,14.4857,0,0.4375,0.5241,255,255
3,0.5389,0.6808,9.2740,0,1.0714,9.5530,0,0.4800,0.4676,255,255
3,0.5334,14.6754,0.2567,0,15.1441,0.3906,0,0.4875,0.4895,255,255
3,0.5315,21.6950,8.6378,0,22.1191,8.8276,0,0.4646,0.4955,255,255
3,0.5280,5.1448,0.0558,0,5.6358,0.0335,0,0.4915,0.4779,255,255
3,0.5261,22.1749,7.5107,0,22.6548,7.5107,0,0.4799,0.4928,255,255
3,0.5231,22.6548,7.5107,0,22.8110,7.0866,0,0.4519,0.4720,255,255
3,0.5157,21.6504,14.2178,0,22.0633,14.3741,0,0.4415,0.4499,255,255
3,0.5073,22.3870,12.6778,0,22.7552,12.9344,0,0.4489,0.4592,255,255
3,0.5030,19.6193,14.9544,0,20.0992,14.9879,0,0.4810,0.4767,255,255
3,0.4877,21.5165,12.0863,0,21.7508,11.6957,0,0.4555,0.4474,255,255
3,0.4869,10.4904,0.3571,0,10.8698,0.1674,0,0.4242,0.4426,255,255
3,0.4861,0.0893,15.3004,0,0.5245,15.2669,0,0.4365,0.4318,255,255
3,0.4765,22.4874,10.0440,0,22.2307,9.6869,0,0.4398,0.4490,255,255
3,0.4630,20.5790,15.3004,0,21.0143,15.2334,0,0.4404,0.4219,255,255
3,0.4577,20.1103,9.1735,0,20.4340,8.8499,0,0.4577,0.4261,255,255
3,0.4561,22.6548,6.6290,0,22.7999,6.9973,0,0.3958,0.4389,255,255
3,0.4542,21.2040,8.4258,0,21.5165,8.7048,0,0.4189,0.4143,255,255
3,0.4518,0.0781,7.3321,0,0.1004,7.7562,0,0.4247,0.3848,255,255
3,0.4507,15.9588,0.3013,0,16.3494,0.2009,0,0.4033,0.4025,255,255
3,0.4434,5.6358,0.0335,0,5.7139,0.4352,0,0.4093,0.4118,255,255
3,0.4357,21.2598,11.5394,0,21.4607,11.1935,0,0.4001,0.4018,255,255
3,0.4341,22.2754,9.6311,0,22.6771,9.7092,0,0.4093,0.4008,255,255
3,0.4303,20.7130,7.3098,0,20.6014,6.9415,0,0.3848,0.4183,255,255
3,0.4292,1.0379,0.1897,0,0.6919,0.3906,0,0.4001,0.4095,255,255
3,0.4249,22.1191,8.8276,0,22.5209,8.8834,0,0.4056,0.3855,255,255
3,0.4123,15.7356,0.6026,0,15.9588,0.3013,0,0.3750,0.3609,255,255
3,0.4115,0.7254,8.9615,0,0.6808,9.2740,0,0.3157,0.3867,255,255
3,0.4096,15.6910,0.5580,0,15.9588,0.3013,0,0.3710,0.3841,255,255
3,0.4057,21.6950,8.6378,0,21.9740,8.9280,0,0.4025,0.3871,255,255
3,0.3995,0.2009,12.2090,0,0.3571,12.5438,0,0.3695,0.3228,255,255
3,0.3941,1.1718,14.4187,0,0.8147,14.4857,0,0.3633,0.3713,255,255
3,0.3919,0.8035,11.8742,0,0.5468,12.1532,0,0.3791,0.3658,255,255
3,0.3837,20.0434,14.9098,0,20.1103,14.5973,0,0.3196,0.3490,255,255
3,0.3726,22.1080,8.2584,0,21.9629,7.9459,0,0.3445,0.3591,255,255
3,0.3710,5.6693,15.2780,0,6.0264,15.2892,0,0.3573,0.3478,255,255
3,0.3584,0.4241,0.1786,0,0.6696,0.4352,0,0.3552,0.3240,255,255
3,0.3541,22.3312,5.5800,0,22.6436,5.6804,0,0.3282,0.3339,255,255
3,0.3530,15.1441,0.3906,0,15.3227,0.1116,0,0.3312,0.3078,255,255
3,0.3522,0.0223,4.7765,0,0.1228,4.5644,0,0.2346,0.3061,255,255
3,0.3483,1.0937,14.7647,0,0.8147,14.9321,0,0.3254,0.3361,255,255
3,0.3475,0.7031,15.2334,0,0.8147,14.9321,0,0.3213,0.3051,255,255
3,0.3475,0.7031,14.6308,0,0.8147,14.9321,0,0.3213,0.3080,255,255
3,0.3421,0.2232,12.1086,0,0.5468,12.1532,0,0.3267,0.3090,255,255
3,0.3421,7.9682,15.4343,0,8.2919,15.4343,0,0.3236,0.3086,255,255
3,0.3337,20.0099,14.3518,0,20.2331,14.2848,0,0.2330,0.2927,255,255
3,0.3329,7.9682,15.4343,0,8.2919,15.4343,0,0.3236,0.3127,255,255
3,0.3252,17.6886,0.1562,0,17.9341,0.0335,0,0.2745,0.2763,255,255
3,0.3233,16.5838,0.3683,0,16.3494,0.2009,0,0.2880,0.2964,255,255
3,0.3198,14.6419,15.4343,0,14.9432,15.4343,0,0.3013,0.2863,255,255
3,0.3106,14.6419,15.4343,0,14.9432,15.4343,0,0.3013,0.2904,255,255
3,0.3102,0.0670,7.1201,0,0.0781,7.3321,0,0.2123,0.2635,255,255
3,0.3067,21.4718,12.1309,0,21.7508,12.1979,0,0.2869,0.2514,255,255
3,0.3056,21.6392,10.9814,0,21.4607,11.1935,0,0.2772,0.2943,255,255
3,0.3037,1.7186,9.2182,0,1.9530,9.3856,0,0.2880,0.2902,255,255
3,0.3029,6.0487,15.1999,0,6.3054,15.1330,0,0.2653,0.2741,255,255
3,0.3010,22.3088,14.5080,0,22.0633,14.3741,0,0.2797,0.2770,255,255
3,0.3010,20.3335,15.4343,0,20.5790,15.3004,0,0.2797,0.2604,255,255
3,0.2975,14.9432,15.4343,0,15.2222,15.4343,0,0.2790,0.2528,255,255
3,0.2972,0.5134,0.1674,0,0.6919,0.3906,0,0.2858,0.2592,255,255
3,0.2956,5.9818,0.4576,0,5.7139,0.4352,0,0.2688,0.2748,255,255
3,0.2898,5.8255,15.0548,0,6.0487,15.1999,0,0.2662,0.2479,255,255
3,0.2898,20.1326,14.4187,0,20.3335,14.2960,0,0.2354,0.2531,255,255
3,0.2882,14.9432,15.4343,0,15.2222,15.4343,0,0.2790,0.2569,255,255
3,0.2882,22.0633,14.3741,0,22.0856,14.0951,0,0.2799,0.2455,255,255
3,0.2879,5.6693,15.2780,0,5.8255,15.0548,0,0.2725,0.2738,255,255
3,0.2852,22.5767,11.0930,0,22.6994,11.1488,0,0.1348,0.2396,255,255
3,0.2825,21.9629,7.9459,0,22.2084,7.9236,0,0.2465,0.2351,255,255
3,0.2806,19.6193,14.9209,0,19.6862,14.6866,0,0.2437,0.2507,255,255
3,0.2752,11.4278,15.4343,0,11.6845,15.4343,0,0.2567,0.2417,255,255
3,0.2721,13.4924,0.1339,0,13.5929,0.3460,0,0.2346,0.2422,255,255
3,0.2713,22.2084,7.9236,0,22.2084,7.9236,0,0.0000,0.2165,255,255
3,0.2702,14.6754,0.2567,0,14.7535,0.0558,0,0.2155,0.2333,255,255
3,0.2694,13.4590,0.1451,0,13.5929,0.3460,0,0.2414,0.2301,255,255
3,0.2659,9.1847,15.4343,0,9.4414,15.4120,0,0.2576,0.2355,255,255
3,0.2659,11.4278,15.4343,0,11.6845,15.4343,0,0.2567,0.2457,255,255
3,0.2629,22.5209,11.7068,0,22.7218,11.8184,0,0.2298,0.2455,255,255
3,0.2629,0.0223,4.7765,0,0.1228,4.5644,0,0.2346,0.2158,255,255
3,0.2602,22.3646,10.9926,0,22.5767,11.0930,0,0.2346,0.2353,255,255
3,0.2583,5.0220,0.2232,0,5.1113,0.0335,0,0.2097,0.2250,255,255
3,0.2482,0.0446,15.2892,0,0.1339,15.4008,0,0.1429,0.2087,255,255
3,0.2444,19.7755,8.9615,0,19.9876,9.0396,0,0.2260,0.2434,255,255
3,0.2436,22.6994,12.0528,0,22.7218,11.8184,0,0.2354,0.2009,255,255
3,0.2425,19.6862,14.5638,0,19.8760,14.4968,0,0.2012,0.2086,255,255
3,0.2406,6.1826,15.3227,0,6.3054,15.1330,0,0.2260,0.2107,255,255
3,0.2379,19.5746,14.7200,0,19.6193,14.9209,0,0.2058,0.1966,255,255
3,0.2259,0.0670,7.1201,0,0.0781,7.3321,0,0.2123,0.1908,255,255
3,0.2248,5.0220,0.2232,0,5.1448,0.0558,0,0.2076,0.1955,255,255
3,0.2248,17.5993,0.1116,0,17.7779,0.0223,0,0.1996,0.1995,255,255
3,0.2248,19.5746,14.7200,0,19.6862,14.5638,0,0.1920,0.1957,255,255
3,0.2240,22.5878,10.4011,0,22.7887,10.4346,0,0.2037,0.2117,255,255
3,0.2117,21.9740,8.9280,0,22.1191,8.8276,0,0.1765,0.1701,255,255
3,0.2109,0.7142,15.3562,0,0.8928,15.4343,0,0.1949,0.1999,255,255
3,0.2108,0.2120,7.3210,0,0.0781,7.3321,0,0.1344,0.1910,255,255
3,0.2101,8.8276,15.4120,0,9.0284,15.4343,0,0.2021,0.1909,255,255
3,0.2082,10.4569,15.4343,0,10.6355,15.3785,0,0.1871,0.1865,255,255
3,0.2071,19.8760,14.4968,0,20.0099,14.3518,0,0.1974,0.1608,255,255
