 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length,Longest Shortest Path,spx,spy,spz
382,48,28,11,49,703,0.2175,27,1,1.0276,4.0809,19.7309,0.6250,0
383,7,4,2,8,387,0.7488,4,0,1.7494,3.7957,17.0636,11.7626,0
384,0,0,1,0,0,0.0000,0,0,0.0000,0.0000,17.0971,0.6696,0
385,1,0,2,0,25,0.3179,0,0,0.3179,0.3179,17.5882,8.6825,0
386,1,0,2,0,49,0.6967,0,0,0.6967,0.6967,17.8002,14.7982,0
387,1,0,2,0,25,0.3780,0,0,0.3780,0.3780,17.7444,4.1404,0
388,1,0,2,0,2,0.0473,0,0,0.0473,0.0473,17.6105,7.7562,0
389,8,4,4,6,183,0.3212,4,0,1.1931,1.8779,18.6818,4.5868,0
390,0,0,1,0,0,0.0000,0,0,0.0000,0.0000,17.7890,5.0220,0
391,3,1,3,3,107,0.4875,1,0,0.7043,1.2359,18.1796,4.9439,0
392,1,0,2,0,50,0.6061,0,0,0.6061,0.6061,18.4921,7.7450,0
393,1,0,2,0,11,0.1385,0,0,0.1385,0.1385,18.0569,8.6602,0
394,4,2,2,4,40,0.1533,2,0,0.2536,0.3614,18.1015,0.2902,0
395,6,3,3,5,203,0.4741,3,0,1.7401,2.1285,19.7755,13.9612,0
396,1,0,2,0,1,0.0223,0,0,0.0223,0.0223,18.2466,2.8793,0
397,1,0,2,0,1,0.0223,0,0,0.0223,0.0223,18.2912,2.5556,0
398,1,0,2,0,0,0.0112,0,0,0.0112,0.0112,18.2912,0.7589,0
399,1,0,2,0,6,0.0966,0,0,0.0966,0.0966,18.3582,3.8725,0
400,1,0,2,0,3,0.0539,0,0,0.0539,0.0539,18.3470,0.7142,0
401,9,4,6,6,97,0.1565,4,0,0.3791,0.8856,19.0836,3.0132,0
402,1,0,2,0,5,0.0716,0,0,0.0716,0.0716,18.4698,1.4731,0
403,1,0,2,0,0,0.0112,0,0,0.0112,0.0112,18.4252,0.5692,0
404,1,0,2,0,75,0.9683,0,0,0.9683,0.9683,19.2956,13.6040,0
405,1,0,2,0,0,0.0112,0,0,0.0112,0.0112,18.4698,0.1451,0
406,1,0,2,0,2,0.0427,0,0,0.0427,0.0427,18.5144,2.6226,0
407,3,1,3,1,264,1.1766,1,0,1.7589,2.7104,19.2510,6.8969,0
408,1,0,2,0,62,0.7447,0,0,0.7447,0.7447,19.2845,8.6267,0
409,1,0,2,0,6,0.0827,0,0,0.0827,0.0827,18.6260,3.6605,0
410,1,0,2,0,1,0.0316,0,0,0.0316,0.0316,18.7042,4.0288,0
411,1,0,2,0,15,0.2109,0,0,0.2109,0.2109,18.8716,12.1756,0
412,0,0,1,0,0,0.0000,0,0,0.0000,0.0000,18.7042,2.7230,0
413,1,0,2,0,8,0.1189,0,0,0.1189,0.1189,18.7823,2.7119,0
414,1,0,2,0,96,1.2489,0,0,1.2489,1.2489,19.7978,1.7521,0
415,1,0,2,0,34,0.4599,0,0,0.4599,0.4599,19.0390,4.4975,0
416,1,0,2,0,18,0.2583,0,0,0.2583,0.2583,19.0836,5.5354,0
417,1,0,2,0,20,0.2991,0,0,0.2991,0.2991,19.2175,3.8614,0
418,1,0,2,0,6,0.0827,0,0,0.0827,0.0827,19.0613,12.4322,0
419,1,0,2,0,42,0.5816,0,0,0.5816,0.5816,19.5635,0.2120,0
420,1,0,2,0,7,0.1078,0,0,0.1078,0.1078,19.2956,4.7430,0
421,1,0,2,0,0,0.0112,0,0,0.0112,0.0112,19.3291,4.0288,0
422,1,0,2,0,88,1.0903,0,0,1.0903,1.0903,20.3224,8.2026,0
423,1,0,2,0,274,3.6006,0,0,3.6006,3.6006,22.3646,3.6270,0
424,3,1,3,3,163,0.7405,1,0,1.7293,1.9856,20.9920,9.8320,0
425,1,0,2,0,66,0.8725,0,0,0.8725,0.8725,19.8983,4.8323,0
426,13,7,5,15,640,0.6731,7,0,2.5337,6.6890,22.1749,13.0126,0
427,1,0,2,0,9,0.1393,0,0,0.1393,0.1393,19.4742,12.2425,0
428,3,1,3,3,121,0.5227,1,0,1.0422,1.3998,20.8469,4.2408,0
429,4,2,2,2,57,0.2072,2,0,0.3772,0.6308,20.2554,13.7603,0
430,1,0,2,0,0,0.0112,0,0,0.0112,0.0112,19.7532,11.6622,0
431,1,0,2,0,74,1.0173,0,0,1.0173,1.0173,20.6348,13.1130,0
432,1,0,2,0,0,0.0158,0,0,0.0158,0.0158,19.8760,14.6642,0
