ID,Tip_X,Tip_Y,Tip_Z,Distance_to_Fiber,Activated
integrin1,0.0,0.0,0.004,0.013645072517562506,False
integrin2,-0.007373688780589649,0.006754902942826518,0.004,0.013666669422888984,False
integrin3,0.0012363864551428853,-0.014087985964414473,0.004,0.011974694140751854,False
integrin4,0.010538470206328822,0.013745568220714623,0.004,0.02205128349171838,False
integrin5,-0.019694269706707845,-0.0034836390053290273,0.004,0.017088816255845383,False
integrin6,0.018866941954039526,-0.012001604113738427,0.004,0.014821755128916883,False
integrin7,-0.0063589808163188035,0.02365509169243885,0.004,0.013013958411208186,False
integrin8,-0.012194453653852131,-0.02347967844933258,0.004,0.011610796554889221,False
integrin9,0.026568018335972967,0.009702597677911016,0.004,0.014290887724980949,False
integrin10,-0.0277303666811823,0.011446692261399119,0.004,0.012420696874913161,False
integrin11,0.013403187206711614,-0.028641832565355213,0.004,0.011865472970148354,False
integrin12,0.009926122851686587,0.03164604375167969,0.004,0.0075021665733596464,True
integrin13,-0.02997179549738671,-0.017369268109590278,0.004,0.01169881061855483,False
integrin14,0.03521454581031473,-0.007741819125583183,0.004,0.01673149888845494,False
integrin15,-0.021519372756639205,0.030609093357380164,0.004,0.013409794217662552,False
integrin16,-0.004977197630519073,-0.03840869047164659,0.004,0.015255564791566326,False
integrin17,0.03058595983005958,0.025777879301330863,0.004,0.015448059745609585,False
integrin18,-0.04119584716008132,0.0017035776363936326,0.004,0.02005536040136501,False
integrin19,0.030073085118071167,-0.029926736398766352,0.004,0.009898337155705183,True
integrin20,-0.002013438425395673,0.04354246278872085,0.004,0.011898108167510642,False
integrin21,-0.028653384058568706,-0.03433633035127896,0.004,0.011161952505249463,False
integrin22,0.045416506031728324,0.006110726623731805,0.004,0.014904216426308564,False
integrin23,-0.03850166878598592,0.02678845834859181,0.004,0.013913673806906886,False
integrin24,0.010525956663281471,-0.046788932840178356,0.004,0.01976031780095738,False
integrin25,0.024356789099939137,0.04250584459507994,0.004,0.007421653788583285,True
integrin26,-0.04763463887072037,-0.015196748983123204,0.004,0.0146121358837403,False
integrin27,0.0462884470282008,-0.021386436629729822,0.004,0.010640763282724931,False
integrin28,-0.02006032223901111,0.047933114562555154,0.004,0.018936032165364856,False
integrin29,-0.017909211283012434,-0.049792169577358464,0.004,0.01740374454975643,False
