 ,Area,Perim.,Circ.,AR,Round,Solidity,EqDiam_um,Image
178,286,67.2132,0.7955,1.5672,0.6381,0.9271,19.0826,young37.png
179,23,17.0711,0.9918,1.5027,0.6655,0.9787,5.4115,young37.png
180,608,96.5685,0.8193,1.6331,0.6123,0.9463,27.8232,young37.png
181,5072,332.8183,0.5754,2.3568,0.4243,0.8532,80.3609,young37.png
182,316,114.9117,0.3007,6.6242,0.1510,0.7248,20.0585,young37.png
183,12281,791.0925,0.2466,2.9676,0.3370,0.7813,125.0466,young37.png
184,875,120.2254,0.7607,1.7099,0.5848,0.9521,33.3779,young37.png
185,6930,457.9310,0.4153,2.1580,0.4634,0.8274,93.9338,young37.png
186,1209,152.4092,0.6541,1.8000,0.5556,0.8825,39.2345,young37.png
187,2983,210.6518,0.8448,1.1232,0.8903,0.9674,61.6285,young37.png
188,10390,726.3473,0.2475,1.5722,0.6361,0.7898,115.0172,young37.png
189,5,7.6569,1.0000,1.5530,0.6439,0.9091,2.5231,young37.png
190,6,7.6569,1.0000,1.5000,0.6667,1.0000,2.7640,young37.png
191,1302,158.2670,0.6532,1.5029,0.6654,0.8771,40.7156,young37.png
192,5,7.6569,1.0000,1.5530,0.6439,0.9091,2.5231,young37.png
193,128,50.6274,0.6275,2.4909,0.4015,0.8767,12.7662,young37.png
194,226,57.1127,0.8707,1.4582,0.6858,0.9436,16.9633,young37.png
195,10673,595.5534,0.3781,1.5666,0.6383,0.7935,116.5731,young37.png
196,1206,188.0660,0.4285,3.5760,0.2796,0.8559,39.1858,young37.png
197,2836,295.3036,0.4087,4.2160,0.2372,0.8807,60.0908,young37.png
198,8773,653.9554,0.2578,1.7287,0.5785,0.7960,105.6888,young37.png
199,8802,443.9066,0.5613,3.2976,0.3032,0.9482,105.8634,young37.png
200,39,21.5563,1.0000,1.0965,0.9120,0.9176,7.0467,young37.png
201,17493,642.3574,0.5327,1.3221,0.7563,0.8442,149.2407,young37.png
202,8531,425.5462,0.5920,2.1170,0.4724,0.9029,104.2210,young37.png
203,668,102.6690,0.7964,1.3319,0.7508,0.9323,29.1637,young37.png
204,119,40.3848,0.9169,1.2222,0.8182,0.9370,12.3092,young37.png
205,36,26.1421,0.6620,2.4645,0.4058,0.8182,6.7703,young37.png
206,9,11.0711,0.9227,1.3428,0.7447,0.8571,3.3851,young37.png
207,5310,333.9066,0.5985,2.0210,0.4948,0.8948,82.2247,young37.png
208,1987,194.2670,0.6616,2.5110,0.3982,0.9581,50.2984,young37.png
209,8617,475.2447,0.4794,1.3976,0.7155,0.8923,104.7450,young37.png
210,12,11.8995,1.0000,1.6514,0.6055,0.8889,3.9088,young37.png
211,21944,1026.9159,0.2615,1.7283,0.5786,0.7433,167.1525,young37.png
212,7481,411.4874,0.5552,2.2002,0.4545,0.9074,97.5966,young37.png
213,2496,237.1787,0.5576,1.4581,0.6858,0.8622,56.3738,young37.png
