 ,Area,Perim.,Circ.,AR,Round,Solidity,EqDiam_um,Image
441,480,137.6396,0.3184,5.1158,0.1955,0.6544,24.7215,old 9.png
442,3,5.6569,1.0000,1.4639,0.6831,0.8571,1.9544,old 9.png
443,30,20.3848,0.9072,1.9408,0.5152,0.8571,6.1804,old 9.png
444,67,36.6274,0.6276,2.1695,0.4609,0.7976,9.2362,old 9.png
445,385,88.6690,0.6154,1.0911,0.9165,0.8462,22.1404,old 9.png
446,32,20.1421,0.9912,1.3462,0.7429,0.9014,6.3831,old 9.png
447,2,4.8284,1.0000,2.0000,0.5000,1.0000,1.5958,old 9.png
448,39,24.9706,0.7860,1.9329,0.5173,0.8478,7.0467,old 9.png
449,2168,249.4214,0.4379,1.5260,0.6553,0.8457,52.5394,old 9.png
450,63,40.7279,0.4773,3.7009,0.2702,0.8514,8.9562,old 9.png
451,453,106.6102,0.5009,3.2839,0.3045,0.8428,24.0162,old 9.png
452,19,15.8995,0.9445,1.4988,0.6672,0.9048,4.9185,old 9.png
453,4,5.6569,1.0000,1.0000,1.0000,1.0000,2.2568,old 9.png
454,4,7.6569,0.8574,1.4676,0.6814,0.8000,2.2568,old 9.png
455,24,26.4853,0.4299,5.2104,0.1919,0.8000,5.5279,old 9.png
456,2109,289.0782,0.3171,1.4011,0.7137,0.8426,51.8195,old 9.png
457,4811,263.7645,0.8690,1.0205,0.9799,0.9658,78.2659,old 9.png
458,7,9.6569,0.9433,1.9357,0.5166,0.9333,2.9854,old 9.png
459,58,28.9706,0.8684,1.8352,0.5449,0.9062,8.5935,old 9.png
460,2,4.8284,1.0000,2.0000,0.5000,1.0000,1.5958,old 9.png
461,180,51.6985,0.8463,1.4078,0.7103,0.9160,15.1388,old 9.png
462,820,113.2965,0.8028,1.5573,0.6421,0.9377,32.3119,old 9.png
463,85,37.7990,0.7476,2.0409,0.4900,0.8947,10.4031,old 9.png
464,13,11.8995,1.0000,1.1592,0.8627,0.8966,4.0684,old 9.png
465,29,19.8995,0.9203,1.9440,0.5144,0.9508,6.0765,old 9.png
466,22,17.3137,0.9223,1.9200,0.5208,0.9167,5.2926,old 9.png
467,26,18.7279,0.9315,1.5825,0.6319,0.8667,5.7536,old 9.png
468,36,22.9706,0.8574,1.6390,0.6101,0.8571,6.7703,old 9.png
469,23,27.3137,0.3874,4.5713,0.2188,0.7302,5.4115,old 9.png
470,16,16.4853,0.7398,2.2776,0.4391,0.8649,4.5135,old 9.png
471,19,17.3137,0.7965,1.6481,0.6068,0.8444,4.9185,old 9.png
472,18,14.7279,1.0000,1.2204,0.8194,0.8571,4.7873,old 9.png
473,2,4.8284,1.0000,2.0000,0.5000,1.0000,1.5958,old 9.png
474,14,13.0711,1.0000,1.2386,0.8074,0.9333,4.2220,old 9.png
475,6,7.6569,1.0000,1.5000,0.6667,1.0000,2.7640,old 9.png
476,250,77.5980,0.5217,2.0318,0.4922,0.7622,17.8412,old 9.png
477,14,13.3137,0.9925,1.9277,0.5188,0.8750,4.2220,old 9.png
478,100,37.6985,0.8842,1.5672,0.6381,0.8889,11.2838,old 9.png
479,3,6.8284,0.8085,3.0000,0.3333,1.0000,1.9544,old 9.png
480,327,69.8406,0.8424,1.4004,0.7141,0.9224,20.4046,old 9.png
481,9,11.8995,0.7987,2.6272,0.3806,0.7826,3.3851,old 9.png
482,1534,213.6224,0.4224,1.3707,0.7296,0.7893,44.1945,old 9.png
483,24,16.7279,1.0000,1.2220,0.8184,0.9057,5.5279,old 9.png
484,341,67.8406,0.9311,1.0976,0.9111,0.9407,20.8369,old 9.png
485,210,57.1127,0.8090,1.8645,0.5363,0.9313,16.3518,old 9.png
486,580,118.9117,0.5155,3.7632,0.2657,0.8862,27.1750,old 9.png
487,102,37.6985,0.9019,1.2316,0.8120,0.8831,11.3961,old 9.png
488,36,23.7990,0.7987,1.8768,0.5328,0.8276,6.7703,old 9.png
489,7339,361.6224,0.7052,1.6565,0.6037,0.9320,96.6659,old 9.png
490,703,105.9828,0.7865,1.5799,0.6330,0.9380,29.9180,old 9.png
491,12,13.0711,0.8826,1.6095,0.6213,0.8889,3.9088,old 9.png
492,6,10.4853,0.6858,2.5188,0.3970,0.7059,2.7640,old 9.png
493,139,45.2132,0.8545,1.3860,0.7215,0.9145,13.3034,old 9.png
494,150,58.5269,0.5503,3.3818,0.2957,0.8824,13.8198,old 9.png
495,32,22.1421,0.8202,1.6527,0.6051,0.8421,6.3831,old 9.png
496,3,5.6569,1.0000,1.4638,0.6831,0.8571,1.9544,old 9.png
497,58,31.2132,0.7481,1.8986,0.5267,0.8657,8.5935,old 9.png
498,6937,380.9777,0.6006,1.0497,0.9527,0.9016,93.9812,old 9.png
499,433,82.5685,0.7981,1.7468,0.5725,0.9145,23.4800,old 9.png
500,8,10.4853,0.9144,1.9386,0.5158,0.8421,3.1915,old 9.png
501,46,24.7279,0.9453,1.4915,0.6705,0.9293,7.6530,old 9.png
502,1995,204.6934,0.5983,1.4376,0.6956,0.8607,50.3995,old 9.png
503,4415,486.7595,0.2342,1.4350,0.6968,0.7449,74.9757,old 9.png
504,12,14.4853,0.7187,2.3437,0.4267,0.8000,3.9088,old 9.png
505,5,7.6569,1.0000,1.5530,0.6439,0.9091,2.5231,old 9.png
506,195,56.5269,0.7669,1.8999,0.5263,0.9155,15.7570,old 9.png
507,4,5.6569,1.0000,1.0000,1.0000,1.0000,2.2568,old 9.png
508,144,43.4558,0.9582,1.0807,0.9253,0.9290,13.5406,old 9.png
509,59,31.2132,0.7610,2.2056,0.4534,0.8676,8.6672,old 9.png
510,45,23.5563,1.0000,1.1094,0.9014,0.9184,7.5694,old 9.png
511,17,14.7279,0.9849,1.1309,0.8842,0.8293,4.6524,old 9.png
512,276,83.5980,0.4963,1.5288,0.6541,0.7480,18.7460,old 9.png
513,2154,216.5097,0.5774,1.5561,0.6426,0.9030,52.3694,old 9.png
514,11,11.3137,1.0000,1.4505,0.6894,0.8462,3.7424,old 9.png
515,619,131.3381,0.4509,1.5938,0.6274,0.7595,28.0737,old 9.png
516,31,24.1421,0.6684,2.7616,0.3621,0.8378,6.2825,old 9.png
517,52,32.8701,0.6048,1.8676,0.5355,0.7324,8.1369,old 9.png
518,2,4.2426,1.0000,2.0000,0.5000,1.0000,1.5958,old 9.png
519,80,38.0416,0.6947,2.0968,0.4769,0.8511,10.0925,old 9.png
520,72,34.0416,0.7808,2.0115,0.4971,0.8675,9.5746,old 9.png
521,61,28.9706,0.9133,1.2945,0.7725,0.8971,8.8129,old 9.png
522,194,53.1127,0.8642,1.6927,0.5908,0.9349,15.7165,old 9.png
523,26,17.3137,1.0000,1.1835,0.8449,0.9286,5.7536,old 9.png
524,4,5.6569,1.0000,1.0000,1.0000,1.0000,2.2568,old 9.png
525,51,35.3137,0.5139,4.3026,0.2324,0.8947,8.0582,old 9.png
526,359,157.8823,0.1810,1.5248,0.6558,0.4681,21.3797,old 9.png
527,51,24.9706,1.0000,1.0359,0.9654,0.9189,8.0582,old 9.png
528,15,13.3137,1.0000,1.2948,0.7723,0.8571,4.3702,old 9.png
529,45,24.1421,0.9702,1.5486,0.6457,0.9278,7.5694,old 9.png
530,231,56.3848,0.9131,1.1114,0.8998,0.9665,17.1499,old 9.png
531,205,57.6985,0.7738,1.3910,0.7189,0.9234,16.1559,old 9.png
532,85,41.2132,0.6289,1.8512,0.5402,0.8293,10.4031,old 9.png
533,44,48.6274,0.2338,4.7231,0.2117,0.5146,7.4848,old 9.png
534,18,15.8995,0.8948,2.3085,0.4332,0.9231,4.7873,old 9.png
535,2,4.2426,1.0000,2.0000,0.5000,1.0000,1.5958,old 9.png
536,10,13.0711,0.7355,2.6864,0.3723,0.9091,3.5682,old 9.png
537,6,9.0711,0.9163,1.8091,0.5528,0.8571,2.7640,old 9.png
538,2,4.2426,1.0000,2.0000,0.5000,1.0000,1.5958,old 9.png
